Particle: X:[-1.15458, 0.739485, 0] v: [-0.171411, 0.0178057, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-0.504014, -0.849957, 0] v: [0.00571789, -0.14098, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[1.31829, -1.14411, 0] v: [0.0756284, -0.0582274, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-2.1653, -0.865886, 0] v: [-0.160245, -0.0304332, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[1.57898, 1.09877, 0] v: [0.101672, -0.05844, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-0.665848, 0.593582, 0] v: [-0.0104494, -0.108908, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[0.281603, -1.71242, 0] v: [-0.0279367, -0.00286395, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-1.25197, -0.48992, 0] v: [-0.0690031, 0.119264, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[1.36951, 1.47073, 0] v: [0.0807455, -0.133418, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-1.04405, 2.61689, 0] v: [-0.0482316, -0.0189175, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[0.751822, -2.78845, 0] v: [0.0190382, 0.00177866, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-0.162062, -0.965091, 0] v: [0.0398789, 0.183932, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[1.27953, -0.684306, 0] v: [-0.0403815, -0.124431, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-0.931008, 1.15956, 0] v: [0.075199, 0.0597709, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[1.81799, -2.95011, 0] v: [0.0134107, -0.238648, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-1.97293, -1.31849, 0] v: [-0.0288894, -0.0756484, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[2.06318, 1.46927, 0] v: [0.0379056, -0.0214267, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-3.05327, -0.794945, 0] v: [-0.136816, -0.247622, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[2.4965, -2.08392, 0] v: [0.0811938, -0.0399768, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-0.321199, 0.825112, 0] v: [0.136119, 0.250636, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[1.00371, 0.813535, 0] v: [-0.0679365, -0.199072, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-1.82968, 4.98069, 0] v: [-0.0145784, 0.217227, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[1.56973, -2.11271, 0] v: [-0.0113909, 0.0692844, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-3.45946, -3.98303, 0] v: [-0.177394, -0.11756, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[2.76882, 1.30047, 0] v: [-0.00373932, 0.0738478, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-5.18331, 1.34107, 0] v: [-0.237468, 0.0779043, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[1.70925, -2.13946, 0] v: [-0.10959, -0.157664, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-4.29353, 0.242926, 0] v: [-0.148579, 0.0803373, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[2.87213, 0.272831, 0] v: [0.00658191, -0.140951, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-3.12909, 1.25021, 0] v: [-0.0322521, -0.0433106, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[3.33431, -2.45989, 0] v: [0.0527531, -0.0775364, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[-5.07653, -1.38539, 0] v: [-0.226801, 0.0298066, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 1
Particle: X:[3.30989, -86.4893, 0] v: [-0.125011, -10.1949, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.75108, -85.3829, 0] v: [0.131102, -10.0843, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.58105, -85.9269, 0] v: [0.00197839, -10.0265, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
